job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred
https://energyjobsearch.com/jobs/other/1305114,energyjobsearch,Werkstudent (m/w/d) Datenbankmanagement & Datenanalyse,ABB,"Heidelberg, Baden-Wurttemberg, Germany","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | PART_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305109,energyjobsearch,JV company controller,ABB,"Beijing, China","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305113,energyjobsearch,Event & Exhibition Center of Expertise Manager (flexible location),ABB,"Tallinn, Estonia","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/engineering/1305079,energyjobsearch,Senior Project Engineer,ABB,"Quebec, Quebec, Canada","At ABB, we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and he...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/engineering/1305080,energyjobsearch,Project Engineer,ABB,"Quebec, Quebec, Canada","At ABB, we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and he...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305052,energyjobsearch,Product Engineer,ABB,"Richmond, Virginia, United States","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/engineering/1305053,energyjobsearch,Automation Engineer,ABB,"Richmond, Virginia, United States","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/engineering/1305054,energyjobsearch,"Chapter Lead - Electronics Hardware: Critical Power (Napier, NZ & Richmond, US)",ABB,"Bergamo, Lombardy, Italy","At ABB , we help industries run leaner and cleaner-and every person here makes that happen. You'll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and ...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/technicians-service/1305099,energyjobsearch,Wind Technician II - Fowler IN,Vestas,"Fowler, Indiana, United States","We are Offering $2,500 USD GWO Sign On Bonus* Join our journey towards wind energy solutions . At Vestas, we believe in a world powered by renewable energy. We are a worldwide authority in w...",NOT_APPLICABLE,TECHNICIANS_SERVICE | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/technicians-service/1305084,energyjobsearch,Technician II,Vestas,"Lincoln, Kansas, United States","Join our journey towards wind energy solutions At Vestas, we believe in a world powered by renewable energy. We are a worldwide authority in wind energy, specializing in the design, manufacture...",NOT_APPLICABLE,TECHNICIANS_SERVICE | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/technicians-service/1305089,energyjobsearch,"Wind Technician II Harvest Ridge - Newman, IL",Vestas,"Newman, Illinois, United States","We are Offering $2,500 USD GWO Sign On Bonus* Join our journey towards wind energy solutions . At Vestas, we believe in a world powered by renewable energy. We are a worldwide authority in w...",NOT_APPLICABLE,TECHNICIANS_SERVICE | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305083,energyjobsearch,Stock Keeper (m/f/d) in Oyten,Vestas,"Hanover, Lower-Saxony, Germany","You want to aim high? At Vestas, you can! As the global leader in wind energy, we work every day to make the world more sustainable. With us, you will not only find meaningful work, but also ma...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305102,energyjobsearch,Stock Keeper (m/f/d) in Broistedt,Vestas,"Hanover, Lower-Saxony, Germany","You want to aim high? At Vestas, you can! As the global leader in wind energy, we work every day to make the world more sustainable. With us, you will not only find meaningful work, but also m...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305072,energyjobsearch,Business Developer Electric Mobility,Engie,"Brussels, Brussels, Belgium","For the Local Energy Infrastructures and the Engie Vianeo team Belgium , located in Brussels, we are currently looking for a Business Developer Electric Mobility (M/F/X). WE OFFER YOU A...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
https://energyjobsearch.com/jobs/other/1305039,energyjobsearch,Field Professional I-II - Baroid,Halliburton,"Zanesville, Ohio, United States","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305050,energyjobsearch,Associate Mechanical Assembler (Pump Assembly),Halliburton,"Duncan, Oklahoma, United States","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305048,energyjobsearch,F&A Analytics CoE Analyst,Halliburton,"Houston, Texas, United States","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305043,energyjobsearch,Geoscientist I,Halliburton,"Haugesund, Rogaland, Norway","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305010,energyjobsearch,Bio Feedstock Trader,Exxon Mobil,"Spring, Texas, United States","About us At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world's largest publicly traded energy and chemical companies...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1305013,energyjobsearch,Graduate Subsea Engineers,Wood PLC,"Stavanger, Rogaland, Norway",JOB DESCRIPTION Wood is seeking talented and enthusiastic Graduate Subsea Engineers to join our Norway Consulting team in Stavanger or Oslo. Do you have the energy and desire to support fas...,NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,ENTRY_JUNIOR
https://energyjobsearch.com/jobs/other/1283450,energyjobsearch,Expeditor / Inspector,EP2C Energy,"Soulac-sur-Mer, Nouvelle-Aquitaine, France","Which organization will you be part of - Expeditor & Quality Inspector? We are looking, for one of our clients in the energy sector, for an Expeditor & Quality Inspector , who will be based in...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,NOT_SPECIFIED
