job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred,expert_role,expert_role_score,expert_role_reason
https://energyjobsearch.com/jobs/general-management/1157089,energyjobsearch,Energy System Project Manager (f/m/d),"Hitachi, Ltd.","Rotterdam, South Holland, Netherlands","Location: Rotterdam, South Holland, Netherlands Job ID: R0088007 Date Posted: 2025-07-04 Company Name: HITACHI ENERGY THE NETHERLANDS B.V. Profession (Job Category): Project/Program ...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/consulting/1305932,energyjobsearch,Managing Consultant - Public Services - Complex Procurement,PA Consulting,"London, England, United Kingdom","Company Description We believe in the power of ingenuity to build a positive human future. As strategies, technologies, and innovation collide, we create opportunity from complexity. Our tea...",MID_LEVEL,CONSULTING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL,generalist,2,consultant
https://energyjobsearch.com/jobs/general-management/1305829,energyjobsearch,R&D Project Manager,Groupe Atlantic,"Borna, Saxony, Germany","Come and contribute to the development of Research & Development at Thermic Energy - and join our teams as a Project Manager on a permanent contract, starting as soon as possible. The Project Ma...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,3,project manager
https://energyjobsearch.com/jobs/general-management/1305815,energyjobsearch,Senior Project Manager - Offshore,Worley,"Abu Dhabi, United Arab Emirates","Building on our past. Ready for the future Worley is a global professional services company of energy, chemicals and resources experts. We partner with customers to deliver projects and create v...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/engineering/1305705,energyjobsearch,Environment & Energy Support Specialist,AtkinsRéalis,"Toronto, Ontario, Canada",Job Description Overview The Engineering Services group is looking for an Environment & Energy Support Specialist with experience in delivering energy outcomes in the energy sector and en...,MID_LEVEL,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL,generalist,3,specialist
https://energyjobsearch.com/jobs/general-management/1232762,energyjobsearch,Senior R&D Project Manager,"Hitachi, Ltd.","Milan, Lombardy, Italy","Location: Milan, Lombardy, Italy Job ID: R0109185 Date Posted: 2025-10-24 Company Name: HITACHI ENERGY ITALY S.P.A. Profession (Job Category): Project/Program Management Job Schedu...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/general-management/1305461,energyjobsearch,Project Manager Research,Umicore,"Hanau, Hesse, Germany",About Umicore Powering the cars of today and tomorrow. Reducing harmful emissions. Giving unique properties to high-end applications. Giving new life to used metals. As a global advanced materia...,SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/general-management/1250388,energyjobsearch,Project Manager (Automotive),Indg,"Amsterdam, North Holland, Netherlands","We're looking for Project Managers at all levels with a genuine passion for the automotive world. Cars, motorbikes, powersports, everything on wheels gets you excited. In this role you will joi...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,project manager
https://energyjobsearch.com/jobs/general-management/1304837,energyjobsearch,Senior Project Manager (m/f/x),Finisar Germany GmbH,"Berlin, Berlin, Germany","Company Profile Coherent empowers market innovators to define the future through breakthrough technologies, from materials to systems. We deliver innovations that resonate with our customers in ...",SENIOR,GENERAL_MANAGEMENT | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,3,"market, project manager"
https://energyjobsearch.com/jobs/engineering/1282188,energyjobsearch,Energy Market Risk Analyst Senior,Total Energies,"La Celle-sous-Gouzon, Nouvelle-Aquitaine, France",Context & Environment Les équipes Energy Management France assurent la gestion de l'énergie des portefeuilles client et production dans un contexte de fort développement commercial sur l'ensem...,SENIOR,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,5,"analyst, commercial, market"
https://energyjobsearch.com/jobs/engineering/1302922,energyjobsearch,Senior Completions/Commissioning Specialist,Worley,"Bawshar, Oman","Building on our past. Ready for the future Worley is a global professional services company of energy, chemicals and resources experts. We partner with customers to deliver projects and create v...",SENIOR,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,SENIOR,generalist,2,specialist
