job_id,title,company,location,posted,summary,job_url,tags,source
287796,Energy & Resource Efficiency Sustainability Consultant,RINA,"Genoa, Italy",Posted 20 days ago,"The mission of the Energy & Resource Efficiency Sustainability Consultant is to advance the integration of sustainability principles across industrial and civil sectors. This vital role involves spearheading initiatives in energy efficiency, resource optimisation, and greenhouse gas management to drive measurable environmental benefits and support organisational decarbonisation goals. The consultant will leverage specialised knowledge in sustainability domains to deliver innovative solutions, align with regulatory frameworks, and foster collaborative engagement with multidisciplinary teams. By delivering expert technical insights and strategic guidance, the consultant contributes directly to our commitment to sustainable business innovation and lasting positive impact on global environmental challenges.",https://www.euroclimatejobs.com/job_display/287796/Energy_Resource_Efficiency_Sustainability_Consultant_RINA_Genoa_Italy,Consultant | Environment,euroclimatejobs
287792,Sustainability Project Manager,Primark,"Dublin, Ireland",Posted 20 days ago,"Here at Primark, we want everyone to feel valued – so please bring your authentic self to work, of course with some other key experience and abilities for this role in particular:",https://www.euroclimatejobs.com/job_display/287792/Sustainability_Project_Manager_Primark_Dublin_Ireland,Environment | Project Manager,euroclimatejobs
287716,Asset Nuclear Leader,RINA,"Genoa, Milan or Rome, Italy",Posted 21 days ago,"As Asset Nuclear Leader, you will drive the strategic development, coordination, and overarching operational execution of the Nuclear Asset, ensuring that strategic directions set at VP level translate into concrete initiatives, high‑quality delivery, and measurable business outcomes. In this role, you will lead multidisciplinary teams across engineering, certification, licensing, safety, decommissioning, digital, R&D, and commercial areas to ensure strong market positioning, regulatory credibility, and technical excellence in the evolving global nuclear sector.",https://www.euroclimatejobs.com/job_display/287716/Asset_Nuclear_Leader_RINA_Genoa_Milan_or_Rome_Italy,Energy Engineer | Nuclear Energy,euroclimatejobs
287646,Senior Communications Officer,EBA - European Biogas Association,"Brussels, Belgium",Posted 22 days ago,"You will be part of a dynamic team of communication and event experts working on exciting projects and campaigns to enhance the visibility of the biogas sector. You will develop impactful marketing & communication campaigns and strategies, build compelling narratives, and ensure consistent branding and messaging across all communication platforms.",https://www.euroclimatejobs.com/job_display/287646/Senior_Communications_Officer_EBA_European_Biogas_Association_Brussels_Belgium,BioEnergy and BioFuel | Communication/Public Relations | Hybrid | Renewable Energy,euroclimatejobs
287598,Senior Environmental Consultant,PM Group,"Cork or Dublin, Ireland",Posted 23 days ago,Ireland Carbon Capture and Storage Consultant Environment Hybrid Renewable Energy PM Group,https://www.euroclimatejobs.com/job_display/287598/Senior_Environmental_Consultant_PM_Group_Cork_or_Dublin_Ireland,Carbon Capture and Storage | Consultant | Environment | Hybrid,euroclimatejobs
287525,Senior Market Risk Manager,MET Group,"Baar, Switzerland",Posted 24 days ago,Switzerland Business and Finance Climate and Energy Analyst Oil and Gas On-site MET Group,https://www.euroclimatejobs.com/job_display/287525/Senior_Market_Risk_Manager_MET_Group_Baar_Switzerland,Business and Finance | Climate and Energy Analyst | Oil and Gas,euroclimatejobs
287521,Renewable Energy Projects (Wind/Solar/BESS) Developer,Qair,"Bucharest, Romania",Posted 24 days ago,"With a background in electrical or energy engineering, you will analyze technical documentation, participate in technical discussions with partners and consultants, and support the permitting and authorization processes required for project development, in coordination with internal teams and local authorities.",https://www.euroclimatejobs.com/job_display/287521/Renewable_Energy_Projects_Wind_Solar_BESS_Developer_Qair_Bucharest_Romania,Electricity | Energy Engineer | Renewable Energy | Solar Energy,euroclimatejobs
287520,Sales Trader (UK Market),OTC Flow,"Amsterdam, Netherlands",Posted 24 days ago,"You'll work closely with experienced sales traders, participate in training sessions, and receive ongoing support to fuel your professional growth. This immersive experience at OTC Flow is designed to strengthen your expertise, equipping you with the knowledge and skills necessary to excel in the industry.",https://www.euroclimatejobs.com/job_display/287520/Sales_Trader_UK_Market_OTC_Flow_Amsterdam_Netherlands,Carbon Capture and Storage | Sales and Marketing | Trader,euroclimatejobs
287462,Senior Reporting & Data Analyst,E.ON,"Essen or Munich, Germany",Posted 27 days ago,"19 May 2026 - The Future of Europe’s Energy: EU Strategy, Policy and Key Challenges",https://www.euroclimatejobs.com/job_display/287462/Senior_Reporting_Data_Analyst_EON_Essen_or_Munich_Germany,Climate and Energy Analyst | Hybrid,euroclimatejobs
287434,Business Analyst - Energy,Capco,"Brussels, Belgium",Posted 27 days ago,We are looking for a Business Analyst with experience in Energy to join our team.,https://www.euroclimatejobs.com/job_display/287434/Business_Analyst_Energy_Capco_Brussels_Belgium,Business and Finance | Climate and Energy Analyst | Hybrid,euroclimatejobs
287399,Sustainability Advocacy Lead,Logitech,"Cork, Ireland",Posted 28 days ago,"Logitech is seeking a driven, strategic and impactful Advocacy Lead to support Logitech sustainability thought leadership and drive industry-wide positive transformation. This role is responsible for supporting the development of Logitech sustainability thought leadership strategy and developing impactful content, advocating for progressive practices and influencing regulations.",https://www.euroclimatejobs.com/job_display/287399/Sustainability_Advocacy_Lead_Logitech_Cork_Ireland,Communication/Public Relations | Environment | Hybrid | Policy and Regulation,euroclimatejobs
287368,Energy Consultant - Business Analyst,Capco,"Brussels, Belgium",Posted 28 days ago,We are looking for a Business Analyst with experience in Energy to join our team.,https://www.euroclimatejobs.com/job_display/287368/Energy_Consultant_Business_Analyst_Capco_Brussels_Belgium,Business and Finance | Climate and Energy Analyst | Consultant | Hybrid,euroclimatejobs
287365,Project Manager - EV Charging Infrastructure (Central Europe),XPeng,"Munich, Germany",Posted 28 days ago,We are looking for a commercially minded Project Manager who can drive the deployment of EV charging infrastructure across central Europe region. This role goes beyond pure project execution. You will combine engeerning capabilities with commercial mindset to support our regional expansion.,https://www.euroclimatejobs.com/job_display/287365/Project_Manager_EV_Charging_Infrastructure_Central_Europe_XPeng_Munich_Germany,Energy Engineer | Project Manager | Sustainable Transport,euroclimatejobs
287238,Principal Energy Consultant - Energy Advisory,Jacobs,"London, United Kingdom",Posted 30 days ago,"The successful candidate will have a focus on energy management, efficiency and net-zero delivery. Experience of modern/ future energy systems in terms of their technical properties and economic and environmental impacts alongside existing technologies and systems including renewable and low carbon generation and storage technologies. We are seeking strong experience in public, industrial and commercial energy usage, energy savings, utility plant development and emission reductions to support our clients in developing decarbonisation strategies and business case assessment applying energy resources and demands.",https://www.euroclimatejobs.com/job_display/287238/Principal_Energy_Consultant_Energy_Advisory_Jacobs_London_United_Kingdom,Carbon Capture and Storage | Climate and Energy Analyst | Consultant | Environment,euroclimatejobs
287237,"Regional Asset Rotation Manager, Eastern Europe & Italy",Metlen Εnergy & Metals,"Milan, Italy",Posted 30 days ago,"Lead East Europe asset rotation for late‑stage to COD solar, BESS, and hybrid projects, owning the end‑to‑end process from pre‑sales to closing. The role is strongly execution‑driven, with a primary focus on SPA and transaction documentation/negotiation, seamless cross‑functional coordination, and on‑time, value‑maximizing closings.",https://www.euroclimatejobs.com/job_display/287237/Regional_Asset_Rotation_Manager_Eastern_Europe_Italy_Metlen_nergy_Metals_Milan_Italy,Business and Finance | Electricity | Renewable Energy | Solar Energy,euroclimatejobs
287229,Quantitative Risk Manager,Centrica Energy Trading,"Aalborg, Denmark",Posted 31 days ago,"As a Quantitative Risk Manager, you will be part of the TQR (Transaction and Quantitative Risk) team, which oversees Model Validation as well Quantitative Model Development for the whole Risk Function.",https://www.euroclimatejobs.com/job_display/287229/Quantitative_Risk_Manager_Centrica_Energy_Trading_Aalborg_Denmark,Business and Finance | Oil and Gas | Renewable Energy,euroclimatejobs
287222,Project Manager - Independent Power Engineering,RINA,"Genoa, Lecce or Rome, Italy",Posted 31 days ago,"The Project Manager is accountable for executing and leading projects, ensuring deliverables are completed within the defined deadlines, scope, and budget. The role involves balancing project demands with available resources and collaborating closely with clients and internal teams to achieve project success. #LI-AL2",https://www.euroclimatejobs.com/job_display/287222/Project_Manager_Independent_Power_Engineering_RINA_Genoa_Lecce_or_Rome_Italy,Energy Engineer | Project Manager | Renewable Energy,euroclimatejobs
287218,Head of Asset Rotation,Metlen Εnergy & Metals,"London, United Kingdom",Posted 31 days ago,"We are currently looking for a Head of Asset Rotation – West Europe to lead the West Europe regional Asset Rotation activities for solar, BESS and hybrid assets across the UK, Ireland, Spain, Portugal and Germany, focusing on projects in late stage or under COD.",https://www.euroclimatejobs.com/job_display/287218/Head_of_Asset_Rotation_Metlen_nergy_Metals_London_United_Kingdom,Business and Finance | Electricity | Renewable Energy | Solar Energy,euroclimatejobs
287162,Contracts and Settlements Analyst,EDF Group,"London, United Kingdom",Posted 34 days ago,"The role will primarily be to validate trades entered into by the company, ensuring trade confirmations are sent in a timely manner, matched where possible electronically and followed up regularly to ensure both compliance with the agreed departmental KPIs and most importantly the integrity of the company’s traded position and associated PnL.",https://www.euroclimatejobs.com/job_display/287162/Contracts_and_Settlements_Analyst_EDF_Group_London_United_Kingdom,Climate and Energy Analyst,euroclimatejobs
287160,"Senior Expert, Energy Solutions",Telelink Infra Services,Bulgaria,Posted 34 days ago,"The Senior Expert, Energy Solutions is responsible for the development, management, and implementation of advanced technological and infrastructure solutions in the fields of renewable energy, energy efficiency, and smart grids. This role ensures the successful execution of energy projects—on time, within budget, and in accordance with safety and quality standards. The position also involves leadership and coordination of Site Managers and technical teams to achieve optimal project delivery.",https://www.euroclimatejobs.com/job_display/287160/Senior_Expert_Energy_Solutions_Telelink_Infra_Services_Bulgaria,Energy Engineer | Renewable Energy | Solar Energy,euroclimatejobs
